FE_SETTING_INTEL;情報;;;;;;;;;;x
FE_SETTING_TECHNOLOGY;科研;;;;;;;;;;;;x
FE_SETTING_UNITINTERFACE;部隊;;;;;;;;;;x
DIFF_VERY_EASY;非常簡單;;;;;;;;;;x
DIFF_EASY;簡單;;;;;;;;;;x
DIFF_NORMAL;正常;;;;;;;;;;x
DIFF_HARD;困難;;;;;;;;;;x
DIFF_VERY_HARD;非常困難;;;;;;;;;;x
OPT_EASY;正常;;;;;;;;;;x
OPT_EXPERT;專家;;;;;;;;;;x
OPT_AICONTROL;電腦控制;;;;;;;;;;x
OPT_AI_CORP;電腦控制軍級單位;;;;;;;;;;x
OPT_AI_ARMY;電腦控制集團軍級單位;;;;;;;;;;x
OPT_AI_ARMY_GROUP;電腦控制集羣級單位;;;;;;;;;;x
OPT_AI_THEATER;電腦控制戰區級單位;;;;;;;;;;x
OPT_PLAYER_CONTROL;玩家控制;;;;;;;;;;x
OPT_NORMAL;正常;;;;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
# Misc ;;;;;;;;;;;;;;x
FE_HEAD_OF_STATE;國家元首;;;;;;;;;;x
ATPEACE;處於和平。;;;;;;;;;;x
ATWAR;處於戰爭。;;;;;;;;;;x
WORLD_YEAR;$YEAR$年$MONTH$$DAY$日$NAME$;;;;;;;;;;x
CORE_PAUSED;暫停;;;;;;;x
SM_SETTINGS;設置;;;;;;;x
SM_GAME;遊戲;;;;;;;x
SM_VIDEO;視頻;;;;;;;x
SM_AUDIO;音頻;;;;;;;x
SM_CONTROLS;控制;;;;;;;x
SM_MASTER_VOLUME;主音量;;;;;;;x
SM_EFFECT_VOLUME;效果音量;;;;;;;x
SM_MUSIC_VOLUME;音樂音量;;;;;;;x
SM_SCROLL_SPEED;卷屏速度;;;;;;;x
SM_ZOOM_SPEED;縮放速度;;;;;;;x
SM_MOUSE_SPEED;鼠標速度;;;;;;;x
SM_RESOLUTION;分辨率;;;;;;;x
SM_REFRESH_RATE;刷新率;;;;;;;x
SM_GAMMA;亮度;;;;;;;x
SM_SHADOWS;陰影;;;;;;;x
SM_TREES;樹木;;;;;;;x
SM_AUTOSAVE_INTERVAL;自動儲存間隔;;;;;;;x
SM_APPLY;應用;;;;;;;x
SM_BACK;返回;;;;;;;x
SM_ALERT;警告;;;;;;;x
SM_RESTART;你需要重啓遊戲以實現更改後的效果。;;;;;;;x
SM_WP;設置文件寫入錯誤，確認文件沒有寫保護後重試。;;;;;;;x
FE_HOST;主機;;;;;;;x
FE_JOIN_LAN_GAME;加入局域網遊戲;;;;;;;x
FE_JOIN_INTERNET_GAME;加入Internet遊戲;;;;;;;x
FE_SCAN;搜索;;;;;;;x
FE_METASERVER;作爲服務器;;;;;;;x
FE_BACK;返回;;;;;;;x
FE_PLAYER;玩家;;;;;;;x
FE_PLAYER_NAME;玩家姓名：;:;;;;;;x
FE_SINGLE_PLAYER;單人遊戲;;;;;;;x
FE_MULTI_PLAYER;多人遊戲;;;;;;;x
FE_OPTIONS;選項;;;;;;;x
FE_CREDITS;製作名單;;;;;;;x
FE_EXIT;退出;;;;;;;x
FE_NATION_TO_PLAY;選擇你想要使用的國家。;;;;;;;x
FE_NEW_GAME;開始新遊戲;;;;;;;x
FE_SAVE_GAME;儲存遊戲;;;;;;;x
FE_HISTORICAL_START;史實開局;;;;;;;x
FE_SAVED_GAMES;從存檔開始;;;;;;;x
FE_SELECT_NATION;點擊地圖以選擇國家。;;;;;;;x
FE_NO_COUNTRY_SELECTED;尚未選擇國家;;;;;;;x
FE_MILITARY;軍事;;;;;;;x
FE_ECONOMY;經濟;;;;;;;x
FE_DIPLOMACY;外交;;;;;;;x
FE_DIFFICULTY;難度;;;;;;;x
FE_AT_WAR;戰爭狀態：;;;;;;;x
FE_ALLIES;同盟國家：;;;;;;;x
FE_LOAD;讀取;CHARGER;;;;;;;x
FE_BOOKEDMARKED;戰役時間：;;;;;;;x
FE_STARTING_DATE;開始時間;;;;;;;x
FE_BOOKMARK_TITLE;戰役名稱;;;;;;;x
FE_BOOKMARK_DATE;戰役時間;;;;;;;x
FE_MY_GAME;我的遊戲;;;;;;;x
PLAYER_LOST_TITLE;玩家斷開連接。;;;;;;;x
PLAYER_LOST_DESC;玩家$playername$斷開了連接，選擇你的行動。;.;;;;;;x
SERVER_LOST_TITLE;丟失主機！;;;;;;;x
SERVER_LOST_DESC;主機已經丟失，遊戲即將終止。;;;;;;;x
OK;好的;;;;;;;x
CANCEL;取消;;;;;;;x
SAVE;儲存;;;;;;;x
QUIT;退出;;;;;;;x
CONTINUE;繼續;;;;;;;x
CONNECTED;已連接。;;;;;;;x
NAME_TAKEN;你已被擊敗，請離開並選擇其他遊戲。;;;;;;;x
CONNECTING;連接中……;;;;;;;x
BANNED;你已被此遊戲封禁;;;;;;;x
CONNECTION_FAILED;連接失敗！;;;;;;;x
GAME_NOT_FOUND;沒有找到遊戲。;;;;;;;x
WAITING_FOR_PLAYERS;等待玩家……;;;;;;;x
ALL_PLAYERS_HERE;所有玩家就位。;;;;;;;x
LOOKING_FOR_HOST;搜尋主機……;;;;;;;x
LOST_PLAYER;一個玩家已經丟失……;;;;;;;x
SERVER_LOST;服務器已經丟失。;;;;;;;x
JOIN_IP_TITLE;輸入IP地址……;;;;;;;x
HOST_TITLE;輸入你的遊戲名稱……;;;;;;;x
HOST_BUTTON;主機;;;;;;;x
JOIN_BUTTON;加入;;;;;;;x
LOG_SETTING_LOG;在日誌中顯示。;;;;;;x
LOG_SETTING_POPUP;打開彈出窗口。;;;;;;;x
LOG_SETTING_MAP;在地圖上顯示。;;;;;;;x
LOG_SETTING_IDLE;顯示爲閒置信息。;;;;;;;x
QUIT_TITLE;退出遊戲;;;;;;;x
QUIT_DESC;你確定要退出遊戲並返回桌面嗎？;;;;;;;x
ZOOM_IN;放大;;;;;;;x
ZOOM_OUT;縮小;;;;;;;x
RESIGN_TITLE;放棄遊戲;;;;;;;x
RESIGN_DESC;你確定要放棄遊戲並返回主菜單嗎？;;;;;;;x
SCAN;搜索;;;;;;;x
STOP_SCAN;停止搜索;;;;;;;x
TIP_KICK;踢除玩家;;;;;;;x
TIP_BAN;在本次通訊中封禁玩家;;;;;;;x
PLAYER_KICKED;$NAME$被主機踢除。;;;;;;;x
PLAYER_BANNED;$NAME$被主機封禁。;;;;;;;x
YOUKICKED;由於你的不當行爲，你已經被主機踢除！;;;;;;;x
BAD_VERSION;主機遊戲爲另一個版本！;;;;;;;x
JOINED_CHANNEL;加入$CHAN$頻道。;;;;;;;x
USER_LEFT_CHANNEL;$NAME$離開了頻道。;;;;;;;x
MESSAGE_IS_POPUP;此類信息將$TRUTH$顯示於彈出窗口中。;;;;;;;x
MESSAGE_IS_LOG;此類信息將$TRUTH$顯示於日誌中。;;;;;;;x
MESSAGE_IS_ONMAP;此類信息將$TRUTH$顯示於地圖上（如果可用）。;;;;;;;x
MESSAGE_SETTING_TRUE;是;;;;;;;x
MESSAGE_SETTING_FALSE;否;;;;;;;x
MENU_BAR_SAVE_GAME;儲存遊戲;;;;;;;x
MENU_BAR_GAME_OPTIONS;遊戲選項;;;;;;;x
MENU_BAR_GAME_RESIGN;放棄遊戲;;;;;;;x
MENU_BAR_MESSAGE_SETTINGS;信息設置;;;;;;;x
MENU_BAR_QUIT;退出遊戲;;;;;;;x
MENU_BAR_CLOSE;關閉;;;;;;;x
MENU_BAR_SAVE;儲存;;;;;;;x
MENU_BAR_SAVE_GAME_FILENAME;儲存文件名爲：;;;;;;;x
CHAT_ALLIES;盟國;;;;;;;x
CHAT_FOES;敵人;;;;;;;x
CHAT_ALL;全部;;;;;;;x
CHATMESSAGE_SETUP;當你接收到一條聊天信息;;;;;;;x
CHATMESSAGE_HEADER;聊天信息;;;;;;x
CHATMESSAGE_1;收到新信息;;;;;;;x
CHATMESSAGE_2;*;*;*;*;*;*;*;;;;;;;x
CHATMESSAGE_3;$TEXT$;$TEXT$;$TEXT$;$TEXT$;$TEXT$;$TEXT$;$TEXT$;$TEXT$;;;;;;x
CHATMESSAGE_4;*;*;*;*;*;*;*;;;;;;;x
CHATMESSAGE_5;*;*;*;*;*;*;*;;;;;;;x
CHATMESSAGE_6;*;*;*;*;*;*;*;;;;;;;x
CHATMESSAGE_LOG;$TEXT$;$TEXT$;$TEXT$;$TEXT$;$TEXT$;$TEXT$;$TEXT$;$TEXT$;;;;;;x
CHATMESSAGE_BTN1;好;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
CHATMESSAGE_BTN2;好;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
CHATMESSAGE_BTN3;查看;;;;;;;x
CHATMESSAGE_MAP;*;*;*;*;*;*;*;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
# Meta Server;;;;;;;;;;;;;;x
MS_USERNAME;用戶名：;;;;;;;x
MS_PASSWORD;密碼：;;;;;;;x
MS_CREATE_GAME;創建遊戲;;;;;;;x
MS_USE_PASSWORD;使用密碼;;;;;;;x
MS_JOIN_GAME;加入遊戲;;;;;;;x
MS_PASSWD;密碼;;;;;;;x
MS_CONNECTION_FAILED;連接失敗！;;;;;;;x
MS_CHANNELS;頻道;;;;;;;x
MS_METASERVER_LOGIN;服務器登陸;;;;;;;x
MS_JOINGAME;加入遊戲;;;;;;;x
MS_REFRESH;刷新;;;;;;;;x
MS_START;開始;;;;;;;x
MS_BACK;返回;;;;;;;;x
MS_JOIN;加入;;;;;;;x
MS_JOIN_CHANNEL;加入頻道;;;;;;;x
MS_LOGIN;登陸;;;;;;;x
MS_CREATE;創建;;;;;;;x
MS_GAMES;遊戲;;;;;;;;x
MS_INFORMATION;信息;;;;;;;x
MS_CHAT;聊天;;;;;;;x
MS_CHANNEL_PLAYER;#頻道名稱/玩家列表;;;;;;;x
MS_CONNECTION_LOST;連接丟失。;;;;;;;x
